# T (K)      fittedC_V_V (J K^-1 mol^-1)
# V= 83.611950 (a.u.^3)
    0.0       0.0000000000000
   50.0      76.1674979198801
  100.0      64.1664729040300
  150.0      75.6486804116325
  200.0      72.8122687505516
  250.0      74.4004484398619
  300.0      74.2499378658034
  350.0      74.4692939257141
  400.0      74.4386128824209
  450.0      74.9320827176306
  500.0      73.2655475457978
  550.0      76.0942600391717
  600.0      74.5236605166744
  650.0      73.6251834311874
  700.0      76.3836320067827
  750.0      73.7583366207317
  800.0      75.0250231569835
  850.0      74.6164409551029
  900.0      75.3831782955984
  950.0      71.9152305536801
 1000.0      79.4910626887341
 1050.0      71.6500358590556
 1100.0      75.6532175078989
 1150.0      74.4934203811871
 1200.0      74.7975558248162
 1250.0      74.3153946033812
 1300.0      74.6502762576974
 1350.0      78.4893745584670
 1400.0      70.0393153953301
 1450.0      80.1314660403825
 1500.0      67.7029957640405
 1550.0      79.4806324190250
 1600.0      68.3268991152332
 1650.0      81.5521562339670
 1700.0      72.4541006520789
 1750.0      75.6688447154064
 1800.0      74.2662959081279
 1850.0      75.7419181115039
 1900.0      73.2902638243020
 1950.0      76.9333518336611
 2000.0      73.3861438064450
 2050.0      75.2928066388656
 2100.0      73.9890225044471
 2150.0      78.4764087038784
 2200.0      69.9369955357074
 2250.0      80.5194799615631
 2300.0      57.7163055868803
 2350.0      92.3421391271795
 2400.0      67.6552811539900
 2450.0      85.7076945267235
 2500.0      63.8545052915399
 2550.0      80.3237705839125
 2600.0      64.9754373172723
 2650.0      83.9934608125199
 2700.0      71.2524107749474
 2750.0      76.6864238012323
 2800.0      74.6313999010069
 2850.0      73.1629386572438
 2900.0      77.4097382655357
 2950.0      70.0735563903684
 3000.0      80.8865758910741
 3050.0      76.9299349828519
 3100.0      78.1792775573319
 3150.0      47.9571807781584
 3200.0     103.3278402084706
 3250.0      60.3526341304127
 3300.0      74.3061647296706
 3350.0      97.7067594930830
 3400.0      50.1621107335626
 3450.0      71.5262373445044
 3500.0      87.6715165328835
 3550.0      71.9718111708398
 3600.0      74.0589886898463
 3650.0      74.2316082329598
 3700.0      79.1271738806910
 3750.0      71.0412369150662
 3800.0      78.5424582682873
 3850.0      64.9581555217329
 3900.0      81.1258215266997
 3950.0      86.3776711451308
 4000.0      65.8856401497228
 4050.0      58.3604391022233
 4100.0      92.1977420949203
 4150.0      79.6920155609964
 4200.0      55.9760926776773
 4250.0      85.9184921506735
 4300.0      72.9749686870261
 4350.0      77.3144567841915
 4400.0      76.9798826638585
 4450.0      62.0712643505494
 4500.0      87.5658135769571
 4550.0      76.4952621885138
 4600.0      68.7081430102907
 4650.0      76.5368108153516
 4700.0      70.9356691528345
 4750.0      77.9624506142137
 4800.0      75.9021020754038
 4850.0      74.7341099161151
 4900.0      71.5190558198018
 4950.0      76.4275684195800
 5000.0      81.4204997328108
# V= 83.505272 (a.u.^3)
    0.0       0.0000000000000
   50.0      76.1638845017468
  100.0      64.1677770167317
  150.0      75.6477467963230
  200.0      72.8124339584931
  250.0      74.4005146094119
  300.0      74.2495919095910
  350.0      74.4692842215103
  400.0      74.4395980525538
  450.0      74.9279322901760
  500.0      73.2820950620091
  550.0      76.0757799245496
  600.0      74.5309430446504
