# T (K)      fittedC_V_V (J K^-1 mol^-1)
# V= 157.405100 (a.u.^3)
    0.0       0.0000000000000
   50.0     131.6715854891403
  100.0     105.3818730090808
  150.0     127.5586918935483
  200.0     120.5646571612986
  250.0     124.1353159683234
  300.0     125.4262959846470
  350.0     123.0576144970511
  400.0     122.5377272981410
  450.0     128.9114880286609
  500.0     119.8698507693611
  550.0     125.3050759049573
  600.0     124.2680330919843
  650.0     124.4207268412888
  700.0     126.0836205172565
  750.0     117.2138213833145
  800.0     132.7259786287251
  850.0     122.2929805021151
  900.0     125.0958790425612
  950.0     125.8413597814333
 1000.0     122.8674729790069
 1050.0     125.3529761006810
 1100.0     124.4857567625201
 1150.0     124.3881967638042
 1200.0     124.4204790025937
 1250.0     126.9959921253440
 1300.0     115.7758127314439
 1350.0     156.8291361403908
 1400.0      99.9791859642437
 1450.0      93.9641170705208
 1500.0     164.1295729057547
 1550.0     113.1759625658147
 1600.0     128.6418812609560
 1650.0     116.8196179867189
 1700.0     132.1073274191600
 1750.0     122.6111751400813
 1800.0     125.2269074407230
 1850.0     124.6065303537055
 1900.0     122.0932426827997
 1950.0     137.1969959358400
 2000.0      97.9796522039809
 2050.0     144.0485406554115
 2100.0     125.8085036113066
 2150.0     116.2170197761234
 2200.0     148.7818989008953
 2250.0      85.1913113312514
 2300.0     137.8624592030385
 2350.0     138.7210829464649
 2400.0     112.1757344036034
 2450.0     129.7996534432326
 2500.0     132.2972631856888
 2550.0     141.2004425567075
 2600.0      61.5091474130475
 2650.0     139.1977463241879
 2700.0     304.3362957189816
 2750.0    -630.3414114523132
 2800.0     914.2381674888735
 2850.0     -66.0900371248872
 2900.0      -9.3300688235153
 2950.0     850.5048507064205
 3000.0    -632.0124474936979
 3050.0     341.2609568276919
 3100.0      68.3422566186191
 3150.0     131.4444877745042
 3200.0     121.9134787335085
 3250.0     131.9498726057915
 3300.0     115.5742120286857
 3350.0     127.2982199006708
 3400.0     136.9225468648510
 3450.0      97.6638944812104
 3500.0     184.5097274765142
 3550.0      33.0465904483350
 3600.0     194.2118719104585
 3650.0     109.4385519445605
 3700.0      94.6243174366177
 3750.0     151.7029829526910
 3800.0     135.6378640675546
 3850.0     122.1700023828332
 3900.0     106.0676498497425
 3950.0     125.4601785241041
 4000.0     122.7616577514889
 4050.0     150.8838621225327
 4100.0      75.2969309152931
 4150.0     146.1917999391370
 4200.0     133.4187623847117
 4250.0     139.7751725160988
 4300.0     110.6756044251910
 4350.0     106.2423924390682
 4400.0     154.7132483101582
 4450.0     118.6522665402811
 4500.0     123.3505059295596
 4550.0      98.4229824959853
 4600.0     150.1775126759441
 4650.0     127.8587187644495
 4700.0      99.8654723428711
 4750.0     160.6063472501215
 4800.0      96.0271692537293
 4850.0     128.6238164054624
 4900.0     133.4811667295040
 4950.0     132.7367229834012
 5000.0     131.9497237530998
# V= 157.191743 (a.u.^3)
    0.0       0.0000000000000
   50.0     131.6664129622376
  100.0     105.3847966307338
  150.0     127.5538249442371
  200.0     120.5693085922602
  250.0     124.1363328231011
  300.0     125.4080368025255
  350.0     123.0794814216690
  400.0     122.5431878782266
  450.0     128.8594777408686
  500.0     119.9299058415407
  550.0     125.2873988415295
  600.0     124.2728197696253
  650.0     124.4208110933892
  700.0     126.0800255912520
  750.0     117.2246231805958
  800.0     132.7105988322197
  850.0     122.2977071030530
  900.0     125.0930604118555
  950.0     125.8413244783437
 1000.0     122.8697409925800
 1050.0     125.3506633771398
 1100.0     124.4848593832328
 1150.0     124.3936770875721
 1200.0     124.4099061688084
 1250.0     127.0237025883228
 1300.0     115.7850670457235
 1350.0     156.6514812291418
 1400.0     100.1766394390805
 1450.0      93.8539903561844
 1500.0     164.3864459896124
 1550.0     112.8911101303238
 1600.0     128.7391077652074
